Player_id,Player,Team,Matches,Innings,Balls,Maidens,Runs,Wickets,BBI,Average,Economy,Bowling S/R,Catches
276,Saurabh Netravalkar,United States of America,6,6,113,0,125,6,18-Feb,20.83,6.63,18.8,1
277,Jasdeep Singh,United States of America,4,4,72,0,121,1,Jan-37,121,10.08,72,1
278,Harmeet Singh,United States of America,6,5,96,0,139,4,24-Feb,34.75,8.68,24,2
279,Nosthush Kenjige,United States of America,4,4,60,0,89,3,30-Mar,29.66,8.9,20,0
280,Shadley Van Schalkwyk,United States of America,4,4,64,0,103,0,-,0,9.65,-,0
284,Ali Khan,United States of America,6,6,116,0,181,3,21-Jan,60.33,9.36,38.6,1
286,Milind Kumar,United States of America,2,1,6,0,22,0,-,0,22,-,1
288,Alzarri Joseph,West Indies,7,7,147,0,177,13,19-Apr,13.61,7.22,11.3,3
290,Roston Chase,West Indies,6,5,90,0,80,7,12-Mar,11.42,5.33,12.8,4
294,Akeal Hosein,West Indies,7,7,150,1,141,9,11-May,15.66,5.64,16.6,0
297,Gudakesh Motie,West Indies,7,7,126,0,149,8,25-Mar,18.62,7.09,15.7,0
299,Andre Russell,West Indies,7,7,121,0,141,11,31-Mar,12.81,6.99,11,3
301,Romario Shepherd,West Indies,4,4,60,0,109,2,09-Jan,54.5,10.9,30,0
302,Sandeep Lamichhane,Nepal,2,2,48,1,35,2,17-Feb,17.5,4.37,24,2
303,Rachin Ravindra,New Zealand,3,1,18,1,9,2,09-Feb,4.5,3,9,1
304,Matt Henry,New Zealand,1,1,24,0,37,2,Feb-37,18.5,9.25,12,0
307,Mehran Khan,Oman,4,3,48,1,61,6,07-Mar,10.16,7.62,8,1
308,Shakeel Ahmed,Oman,3,3,54,0,71,0,-,0,7.88,-,1
309,Iftikhar Ahmed,Pakistan,2,2,12,0,17,0,-,0,8.5,-,1
312,Abbas Afridi,Pakistan,1,1,18,0,31,0,-,0,10.33,-,0
313,Naseem Shah,Pakistan,3,3,72,0,71,5,21-Mar,14.2,5.91,14.4,1
316,Jason Kariko,Papua New Guinea,3,3,66,0,50,1,17-Jan,50,4.54,66,1
317,Sema Kamea,Papua New Guinea,2,2,36,0,39,2,16-Jan,19.5,6.5,18,1
323,Angelo Mathews,Sri Lanka,3,2,30,0,36,0,-,0,7.2,-,0
326,Nuwan Thushara,Sri Lanka,3,3,64,0,60,8,18-Apr,7.5,5.62,8,0
334,Nikhil Dutta,Canada,1,1,16,0,41,1,Jan-41,41,15.37,16,0
335,Mohammad Amir,Pakistan,4,4,96,1,72,7,11-Feb,10.28,4.5,13.7,2
336,Avishka Fernando,Papua New Guinea,4,4,78,1,73,4,16-Feb,18.25,5.61,19.5,0
337,Ben Currie,Scotland,2,1,24,0,16,2,16-Feb,8,4,12,1
338,Chris Sole,Scotland,4,3,60,0,97,2,23-Jan,48.5,9.7,30,0
339,Brad Wheal,Scotland,4,3,70,1,80,5,Mar-33,16,6.85,14,1
340,Ottniel Baartman,South Africa,5,5,114,1,94,6,11-Apr,15.66,4.94,19,1
341,Matheesha Pathirana,Sri Lanka,3,3,60,0,51,3,12-Feb,17,5.1,20,0
342,Obed McCoy,West Indies,3,3,37,0,49,3,14-Mar,16.33,7.94,12.3,0
