Player_id,Player,Team,Matches,Innings,Not Out,Runs,Highest Score,Average,Batting S/R,Sixes,Fours,Fifties,Ducks,Batting Position
122,Rohit Paudel,Nepal,3,3,0,36,35,12,80,0,5,0,1,3
123,Aasif Sheikh,Nepal,3,3,0,63,42,21,88.73,1,9,0,0,2
124,Abhinav Kumar Sah,Nepal,3,3,0,38,27,12.66,100,0,0,0,1,4
125,Kushal Bhurtel,Nepal,3,3,0,24,13,8,61.53,1,3,0,0,1
126,Kushal Malla,Nepal,3,3,0,37,27,12.33,71.15,1,2,0,0,5
127,Dipendra Singh Airee,Nepal,3,3,0,32,25,10.66,66.66,1,2,0,0,5
129,Karan KC,Nepal,2,1,0,17,17,17,141.66,2,0,0,0,9
129,Karan KC,Oman,3,3,0,16,9,5.33,48.48,0,0,0,1,10
130,Sompal Kami,Nepal,3,3,1,8,8*,4,72.72,0,0,0,2,8
132,Sundeep Jora,Nepal,1,1,0,1,1,1,12.5,0,0,0,0,11
133,Gulshan Jha,Nepal,3,3,0,20,14,6.66,80,1,1,0,1,7
134,Abinash Bohara,Nepal,3,2,0,0,0,0,0,0,0,0,2,11
135,Sunam Gautam Dhakal,Nepal,1,1,1,0,0*,0,0,0,0,0,0,10
137,Scott Edwards,Netherlands,4,4,0,71,31,17.75,110.93,2,5,0,0,5
138,Aryan Dutt,Netherlands,2,2,1,25,15*,25,125,1,2,0,0,9
139,Bas de Leede,Netherlands,4,4,1,20,11*,6.66,60.6,0,1,0,1,6
141,Logan van Beek,Netherlands,4,3,0,25,23,8.33,96.15,0,3,0,1,7
142,Max O'Dowd,Netherlands,4,4,1,79,54*,26.33,101.28,2,7,1,0,2
143,Michael Levitt,Netherlands,4,4,0,50,31,12.5,111.11,4,4,0,1,1
144,Paul van Meekeren,Netherlands,4,2,1,4,3,4,44.44,0,0,0,0,10
146,Sybrand Engelbrecht,Netherlands,4,4,0,98,40,24.5,106.52,3,6,0,0,3
148,Tim Pringle,Netherlands,4,3,0,3,2,1,18.75,0,0,0,1,8
149,Vikramjit Singh,Netherlands,4,4,0,67,26,16.75,94.36,3,5,0,0,3
150,Vivian Kingma,Netherlands,4,1,1,1,1*,0,100,0,0,0,0,11
152,Kane Williamson,New Zealand,4,3,1,28,18*,14,87.5,0,3,0,0,4
153,Finn Allen,New Zealand,4,4,0,35,26,8.75,81.39,1,4,0,2,1
154,Devon Conway,New Zealand,4,4,1,70,35,23.33,107.69,3,7,0,0,2
155,Daryl Mitchell,New Zealand,4,3,1,36,19*,18,120,0,5,0,0,5
156,Glenn Phillips,New Zealand,4,2,0,58,40,29,113.72,2,5,0,0,6
157,Mitchell Santner,New Zealand,4,2,1,25,21*,25,125,3,0,0,0,7
158,Jimmy Neesham,New Zealand,2,1,0,10,10,10,90.9,1,0,0,0,7
159,Tim Southee,New Zealand,3,1,0,0,0,0,0,0,0,0,1,9
160,Lockie Ferguson,New Zealand,4,2,1,2,2,2,40,0,0,0,0,10
162,Trent Boult,New Zealand,4,2,1,10,7,10,90.9,1,0,0,0,11
163,Mark Chapman,New Zealand,1,1,0,4,4,4,57.14,0,0,0,0,10
167,Zeeshan Maqsood,Oman,4,4,0,27,22,6.75,75,0,4,0,0,4
168,Aqib Ilyas,Oman,4,4,0,42,18,10.5,120,2,5,0,1,3
170,Ayaan Khan,Oman,4,4,1,93,41*,31,97.89,3,6,0,0,6
173,Naseem Khushi,Oman,2,2,0,16,10,8,106.66,1,1,0,0,2
174,Kaleemullah,Oman,4,3,1,13,6*,6.5,108.33,0,1,0,0,10
175,Bilal Khan,Oman,4,3,3,2,1*,0,50,0,0,0,0,11
176,Fayyaz Butt,Oman,1,1,0,2,2,2,28.57,0,0,0,0,9
177,Mohammad Nadeem,Oman,1,1,0,6,6,6,60,0,0,0,0,9
182,Babar Azam,Pakistan,4,4,1,122,44,40.66,101.66,3,8,0,0,3
183,Mohammad Rizwan,Pakistan,4,4,1,110,53*,36.66,90.9,3,5,1,0,1
184,Fakhar Zaman,Pakistan,4,4,0,33,13,8.25,110,2,1,0,0,4
188,Shadab Khan,Pakistan,4,3,0,44,40,14.66,129.41,3,1,0,1,6
189,Imad Wasim,Pakistan,3,2,0,19,15,9.5,65.51,0,2,0,0,7
